time_utc,total_production_active_power_kW
2024-04-05 06:45:00+00:00,2195.91674804688
2024-04-05 07:00:00+00:00,2824.69555664063
2024-04-05 07:15:00+00:00,3468.40771484375
2024-04-05 07:30:00+00:00,4082.32885742188
2024-04-05 07:45:00+00:00,4677.4990234375
2024-04-05 08:00:00+00:00,5245.0087890625
2024-04-05 08:15:00+00:00,5766.9365234375
2024-04-05 08:30:00+00:00,6245.509765625
2024-04-05 08:45:00+00:00,6712.83544921875
2024-04-05 09:00:00+00:00,7105.203125
2024-04-05 09:15:00+00:00,7415.16650390625
2024-04-05 09:30:00+00:00,7692.1357421875
2024-04-05 09:45:00+00:00,7925.9833984375
2024-04-05 10:00:00+00:00,8106.8076171875
2024-04-05 10:15:00+00:00,8396.4970703125
2024-04-05 10:30:00+00:00,8658.337890625
2024-04-05 10:45:00+00:00,8933.6982421875
2024-04-05 11:00:00+00:00,9070.185546875
2024-04-05 11:15:00+00:00,9150.7734375
2024-04-05 11:30:00+00:00,9222.2841796875
2024-04-05 11:45:00+00:00,9229.58203125
2024-04-05 12:00:00+00:00,9227.275390625
2024-04-05 12:15:00+00:00,9157.544921875
2024-04-05 12:30:00+00:00,9029.904296875
2024-04-05 12:45:00+00:00,8873.8388671875
2024-04-05 13:00:00+00:00,8680.443359375
2024-04-05 13:15:00+00:00,8409.8115234375
2024-04-05 13:30:00+00:00,8139.50439453125
2024-04-05 13:45:00+00:00,7881.25
2024-04-05 14:00:00+00:00,7585.33447265625
2024-04-05 14:15:00+00:00,7213.9921875
2024-04-05 14:30:00+00:00,6805.75
2024-04-05 14:45:00+00:00,6362.10009765625
2024-04-05 15:00:00+00:00,5879.06884765625
2024-04-05 15:15:00+00:00,5356.68798828125
2024-04-05 15:30:00+00:00,4781.25341796875
2024-04-05 15:45:00+00:00,4167.33984375
2024-04-05 16:00:00+00:00,3544.36010742188
2024-04-05 16:15:00+00:00,2926.16455078125
2024-04-05 16:30:00+00:00,2297.97436523438
2024-04-05 16:45:00+00:00,1691.22106933594
2024-04-05 17:00:00+00:00,1126.19555664063
2024-04-05 17:15:00+00:00,630.821105957031
2024-04-05 17:30:00+00:00,305.637786865234
2024-04-05 17:45:00+00:00,121.383331298828
2024-04-05 18:00:00+00:00,0.0
2024-04-05 18:15:00+00:00,0.0
2024-04-05 18:30:00+00:00,0.0
2024-04-05 18:45:00+00:00,0.0
2024-04-05 19:00:00+00:00,0.0
2024-04-05 19:15:00+00:00,0.0
2024-04-05 19:30:00+00:00,0.0
2024-04-05 19:45:00+00:00,0.0
2024-04-05 20:00:00+00:00,0.0
2024-04-05 20:15:00+00:00,0.0
2024-04-05 20:30:00+00:00,0.0
2024-04-05 20:45:00+00:00,0.0
2024-04-05 21:00:00+00:00,0.0
2024-04-05 21:15:00+00:00,0.0
2024-04-05 21:30:00+00:00,0.0
2024-04-05 21:45:00+00:00,0.0
2024-04-05 22:00:00+00:00,0.0
2024-04-05 22:15:00+00:00,0.0
2024-04-05 22:30:00+00:00,0.0
2024-04-05 22:45:00+00:00,0.0
2024-04-05 23:00:00+00:00,0.0
2024-04-05 23:15:00+00:00,0.0
2024-04-05 23:30:00+00:00,0.0
2024-04-05 23:45:00+00:00,0.0
2024-04-06 00:00:00+00:00,0.0
2024-04-06 00:15:00+00:00,0.0
2024-04-06 00:30:00+00:00,0.0
2024-04-06 00:45:00+00:00,0.0
2024-04-06 01:00:00+00:00,0.0
2024-04-06 01:15:00+00:00,0.0
2024-04-06 01:30:00+00:00,0.0
2024-04-06 01:45:00+00:00,0.0
2024-04-06 02:00:00+00:00,0.0
2024-04-06 02:15:00+00:00,0.0
2024-04-06 02:30:00+00:00,0.0
2024-04-06 02:45:00+00:00,0.0
2024-04-06 03:00:00+00:00,0.0
2024-04-06 03:15:00+00:00,0.0
2024-04-06 03:30:00+00:00,0.0
2024-04-06 03:45:00+00:00,0.0
2024-04-06 04:00:00+00:00,0.0
2024-04-06 04:15:00+00:00,0.0
2024-04-06 04:30:00+00:00,0.0
2024-04-06 04:45:00+00:00,0.0
2024-04-06 05:00:00+00:00,0.0
2024-04-06 05:15:00+00:00,0.0
2024-04-06 05:30:00+00:00,0.0
2024-04-06 05:45:00+00:00,170.22444152832
2024-04-06 06:00:00+00:00,528.547790527344
2024-04-06 06:15:00+00:00,1030.95666503906
2024-04-06 06:30:00+00:00,1645.80554199219
2024-04-06 06:45:00+00:00,2248.02783203125
2024-04-06 07:00:00+00:00,2825.92993164063
2024-04-06 07:15:00+00:00,3453.24438476563
2024-04-06 07:30:00+00:00,4052.76879882813
2024-04-06 07:45:00+00:00,4614.048828125
2024-04-06 08:00:00+00:00,5183.70458984375
2024-04-06 08:15:00+00:00,5704.48779296875
2024-04-06 08:30:00+00:00,6172.40576171875
2024-04-06 08:45:00+00:00,6625.080078125
2024-04-06 09:00:00+00:00,7040.94091796875
2024-04-06 09:15:00+00:00,7441.767578125
2024-04-06 09:30:00+00:00,7780.09228515625
2024-04-06 09:45:00+00:00,8047.39208984375
2024-04-06 10:00:00+00:00,8301.0615234375
2024-04-06 10:15:00+00:00,8556.1806640625
2024-04-06 10:30:00+00:00,8712.4931640625
2024-04-06 10:45:00+00:00,8856.9365234375
2024-04-06 11:00:00+00:00,8989.705078125
2024-04-06 11:15:00+00:00,9017.97265625
2024-04-06 11:30:00+00:00,9076.916015625
2024-04-06 11:45:00+00:00,9098.9482421875
2024-04-06 12:00:00+00:00,9077.728515625
2024-04-06 12:15:00+00:00,9056.0908203125
2024-04-06 12:30:00+00:00,8970.9833984375
2024-04-06 12:45:00+00:00,8843.7275390625
2024-04-06 13:00:00+00:00,8645.7919921875
2024-04-06 13:15:00+00:00,8415.1513671875
2024-04-06 13:30:00+00:00,8169.9345703125
2024-04-06 13:45:00+00:00,7884.4775390625
2024-04-06 14:00:00+00:00,7538.99462890625
2024-04-06 14:15:00+00:00,7102.57421875
2024-04-06 14:30:00+00:00,6676.43310546875
2024-04-06 14:45:00+00:00,6161.69677734375
2024-04-06 15:00:00+00:00,5624.3544921875
2024-04-06 15:15:00+00:00,4811.7275390625
2024-04-06 15:30:00+00:00,4115.55126953125
2024-04-06 15:45:00+00:00,3379.03564453125
2024-04-06 16:00:00+00:00,2772.62768554688
2024-04-06 16:15:00+00:00,2364.32006835938
2024-04-06 16:30:00+00:00,2033.46557617188
