# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-06-23T00:00:00.0/2023-06-24T00:00:00.0;11559.6113;8040.3584;5761.6855;2278.6729;7884.1943;7923.4502;5586.9150;2336.5354;7503.3843;0.9785
2023-06-24T00:00:00.0/2023-06-25T00:00:00.0;11556.2305;8132.1699;6017.3867;2114.7827;8282.5771;8094.8301;5913.8623;2180.9678;8164.3525;0.9785
2023-06-25T00:00:00.0/2023-06-26T00:00:00.0;11552.0527;7963.3120;5460.6099;2502.7021;7356.1240;7000.8755;3923.2402;3077.6355;5494.2632;0.9785
2023-06-26T00:00:00.0/2023-06-27T00:00:00.0;11547.0518;8193.6494;6099.8184;2093.8311;8431.8613;8177.3242;6051.8569;2125.4675;8382.0918;0.9788
2023-06-27T00:00:00.0/2023-06-28T00:00:00.0;11541.3037;8234.0283;6131.9302;2102.0981;8509.5176;8234.0283;6131.9302;2102.0981;8509.5176;0.9788
2023-06-28T00:00:00.0/2023-06-29T00:00:00.0;11534.7607;8318.4512;6303.9658;2014.4856;8886.3457;8318.4512;6303.9658;2014.4856;8886.3457;0.9788
2023-06-29T00:00:00.0/2023-06-30T00:00:00.0;11527.4062;8599.4639;6993.2998;1606.1646;9843.4258;8599.4639;6993.2998;1606.1646;9843.4258;0.9792
2023-06-30T00:00:00.0/2023-07-01T00:00:00.0;11519.3027;7700.0771;4782.0952;2917.9822;6444.5488;7700.0771;4782.0952;2917.9822;6444.5488;0.9792
2023-07-01T00:00:00.0/2023-07-02T00:00:00.0;11510.3750;8062.2798;5751.4565;2310.8228;7863.5156;8062.2798;5751.4565;2310.8228;7863.5156;0.9795
2023-07-02T00:00:00.0/2023-07-03T00:00:00.0;11500.7139;8341.2764;6519.8232;1821.4532;9083.0645;7922.3037;5696.6538;2225.6497;8195.9766;0.9795
2023-07-03T00:00:00.0/2023-07-04T00:00:00.0;11490.2607;8532.5088;7156.1929;1376.3157;10291.8320;8532.5088;7156.1929;1376.3157;10291.8320;0.9795
2023-07-04T00:00:00.0/2023-07-05T00:00:00.0;11479.0078;8292.4678;6514.8438;1777.6243;9223.6338;8229.0352;6437.8857;1791.1489;9024.2930;0.9799
2023-07-05T00:00:00.0/2023-07-06T00:00:00.0;11466.9980;8168.4487;6136.2036;2032.2450;8603.0635;8037.5947;5898.8086;2138.7861;8163.1899;0.9799
2023-07-06T00:00:00.0/2023-07-07T00:00:00.0;11454.1641;8347.4756;6648.1704;1699.3055;9450.5361;8347.4756;6648.1704;1699.3055;9450.5361;0.9806
2023-07-07T00:00:00.0/2023-07-08T00:00:00.0;11440.5791;8674.2861;7615.4458;1058.8397;11115.5547;8674.2861;7615.4458;1058.8397;11115.5547;0.9809
2023-07-08T00:00:00.0/2023-07-09T00:00:00.0;11426.2695;8606.5498;7210.4185;1396.1317;10435.5400;8606.5498;7210.4185;1396.1317;10435.5400;0.9809
2023-07-09T00:00:00.0/2023-07-10T00:00:00.0;11411.1387;8487.8867;7104.9814;1382.9053;10215.1768;8487.8867;7104.9814;1382.9053;10215.1768;0.9812
2023-07-10T00:00:00.0/2023-07-11T00:00:00.0;11395.2520;8424.0332;6931.2139;1492.8192;9935.6680;8424.0332;6931.2139;1492.8192;9935.6680;0.9816
2023-07-11T00:00:00.0/2023-07-12T00:00:00.0;11378.5977;8363.8213;6527.9189;1835.9027;9204.4238;8363.8213;6527.9189;1835.9027;9204.4238;0.9819
2023-07-12T00:00:00.0/2023-07-13T00:00:00.0;11361.1953;8406.4102;6791.3174;1615.0928;9762.4453;8406.4102;6791.3174;1615.0928;9762.4453;0.9819
2023-07-13T00:00:00.0/2023-07-14T00:00:00.0;11342.9873;8236.5078;6471.2310;1765.2770;9140.7490;8236.5078;6471.2310;1765.2770;9140.7490;0.9774
2023-07-14T00:00:00.0/2023-07-15T00:00:00.0;11324.0352;8272.3975;6459.3115;1813.0856;9089.7197;8272.3975;6459.3115;1813.0856;9089.7197;0.9778
2023-07-15T00:00:00.0/2023-07-16T00:00:00.0;11304.3232;8110.7007;5757.2202;2353.4807;8088.0889;8110.7007;5757.2202;2353.4807;8088.0889;0.9781
2023-07-16T00:00:00.0/2023-07-17T00:00:00.0;11283.8643;8229.0059;6533.9990;1695.0068;9288.0117;8229.0059;6533.9990;1695.0068;9288.0117;0.9785
2023-07-17T00:00:00.0/2023-07-18T00:00:00.0;11262.6074;8317.9893;6836.9556;1481.0341;9781.9502;8317.9893;6836.9556;1481.0341;9781.9502;0.9792
2023-07-18T00:00:00.0/2023-07-19T00:00:00.0;11240.6270;8260.6641;6787.8501;1472.8137;9726.4863;8260.6641;6787.8501;1472.8137;9726.4863;0.9795
2023-07-19T00:00:00.0/2023-07-20T00:00:00.0;11217.9131;8150.0957;6412.4219;1737.6737;9095.5752;8116.1855;6344.2852;1771.9005;8995.2266;0.9799
2023-07-20T00:00:00.0/2023-07-21T00:00:00.0;11194.4365;8111.9355;6386.4248;1725.5110;9047.6006;8111.9355;6386.4248;1725.5110;9047.6006;0.9802
2023-07-21T00:00:00.0/2023-07-22T00:00:00.0;11170.1904;8250.1670;6550.7798;1699.3873;9287.0205;8250.1670;6550.7798;1699.3873;9287.0205;0.9812
2023-07-22T00:00:00.0/2023-07-23T00:00:00.0;11145.2295;8154.9609;6448.5620;1706.3988;9057.7236;8154.9609;6448.5620;1706.3988;9057.7236;0.9812
2023-07-23T00:00:00.0/2023-07-24T00:00:00.0;11119.5342;7925.5176;5773.3989;2152.1187;8004.2568;7925.5176;5773.3989;2152.1187;8004.2568;0.9816
2023-07-24T00:00:00.0/2023-07-25T00:00:00.0;11093.0732;8096.2324;6291.9087;1804.3236;8831.8369;8096.2324;6291.9087;1804.3236;8831.8369;0.9823
2023-07-25T00:00:00.0/2023-07-26T00:00:00.0;11065.8701;8074.9009;6245.3867;1829.5143;8717.6221;8074.9009;6245.3867;1829.5143;8717.6221;0.9830
2023-07-26T00:00:00.0/2023-07-27T00:00:00.0;11037.9668;7267.6157;4229.8325;3037.7830;5667.5132;7267.6157;4229.8325;3037.7830;5667.5132;0.9833
2023-07-27T00:00:00.0/2023-07-28T00:00:00.0;11009.3447;8357.8594;7199.4282;1158.4308;10685.2676;8357.8594;7199.4282;1158.4308;10685.2676;0.9837
