# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-01T00:00:00.0
# Latitude (positive North, ISO 19115): 36.9000
# Longitude (positive East, ISO 19115): 21.7400
# Altitude (m): 171.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2025-05-03
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-06-02T00:00:00.0/2023-06-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T01:00:00.0/2023-06-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T02:00:00.0/2023-06-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T03:00:00.0/2023-06-02T04:00:00.0;55.7310;16.3948;2.2826;14.1122;25.1418;8.7854;0.0001;8.7852;0.0015;0.6667
2023-06-02T04:00:00.0/2023-06-02T05:00:00.0;295.5390;135.5546;50.4688;85.0858;209.7802;74.2401;3.8517;70.3883;14.5453;0.9750
2023-06-02T05:00:00.0/2023-06-02T06:00:00.0;548.8137;322.1979;171.1549;151.0430;406.7657;317.4991;165.2478;152.2513;388.9251;1.0000
2023-06-02T06:00:00.0/2023-06-02T07:00:00.0;785.1009;519.4573;322.1530;197.3042;540.7630;451.2229;211.2195;240.0035;367.9263;1.0000
2023-06-02T07:00:00.0/2023-06-02T08:00:00.0;988.3063;696.7053;469.2089;227.4964;627.5516;632.7501;373.3789;259.3712;490.3387;1.0000
2023-06-02T08:00:00.0/2023-06-02T09:00:00.0;1144.5901;835.5294;589.6728;245.8566;681.7281;820.3835;543.8594;276.5241;630.8779;1.0000
2023-06-02T09:00:00.0/2023-06-02T10:00:00.0;1243.3108;923.4182;665.1662;258.2520;708.2862;767.4321;330.8215;436.6105;350.8542;1.0000
2023-06-02T10:00:00.0/2023-06-02T11:00:00.0;1277.7505;953.4292;687.0712;266.3581;711.9409;943.5430;664.3898;279.1532;688.3591;1.0000
2023-06-02T11:00:00.0/2023-06-02T12:00:00.0;1245.5729;923.7462;656.7734;266.9727;698.0172;666.4602;194.2427;472.2175;205.8601;1.0000
2023-06-02T12:00:00.0/2023-06-02T13:00:00.0;1148.9827;837.9529;583.0305;254.9224;671.5391;603.0909;237.3631;365.7278;269.6690;1.0000
2023-06-02T13:00:00.0/2023-06-02T14:00:00.0;994.5738;703.0315;473.1332;229.8983;628.9724;285.0771;9.9947;275.0824;13.0758;1.0000
2023-06-02T14:00:00.0/2023-06-02T15:00:00.0;792.8799;529.3479;334.2873;195.0606;556.0326;386.6939;153.4016;233.2923;268.2583;1.0000
2023-06-02T15:00:00.0/2023-06-02T16:00:00.0;557.6548;335.7997;189.1405;146.6591;444.0077;171.3792;71.6077;99.7715;147.8302;1.0000
2023-06-02T16:00:00.0/2023-06-02T17:00:00.0;304.9348;148.7717;64.5344;84.2373;264.2518;91.7092;34.5271;57.1821;163.4779;1.0000
2023-06-02T17:00:00.0/2023-06-02T18:00:00.0;62.2414;20.0328;3.9883;16.0445;41.9681;20.0328;3.9883;16.0445;41.9681;0.9167
2023-06-02T18:00:00.0/2023-06-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T19:00:00.0/2023-06-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T20:00:00.0/2023-06-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T21:00:00.0/2023-06-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T22:00:00.0/2023-06-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-02T23:00:00.0/2023-06-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T00:00:00.0/2023-06-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T01:00:00.0/2023-06-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T02:00:00.0/2023-06-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T03:00:00.0/2023-06-03T04:00:00.0;56.5018;19.7788;5.5444;14.2344;61.5554;19.7788;5.5444;14.2344;61.5554;0.6667
2023-06-03T04:00:00.0/2023-06-03T05:00:00.0;296.4173;157.9931;86.2834;71.7097;365.1541;157.9931;86.2834;71.7097;365.1541;0.9750
2023-06-03T05:00:00.0/2023-06-03T06:00:00.0;549.4018;355.3922;240.8612;114.5311;574.6399;355.3922;240.8612;114.5311;574.6399;1.0000
2023-06-03T06:00:00.0/2023-06-03T07:00:00.0;785.4653;555.1661;412.3002;142.8659;692.6492;555.1661;412.3002;142.8659;692.6492;1.0000
2023-06-03T07:00:00.0/2023-06-03T08:00:00.0;988.5286;732.2771;571.1896;161.0875;763.9850;732.2771;571.1896;161.0875;763.9850;1.0000
2023-06-03T08:00:00.0/2023-06-03T09:00:00.0;1144.7611;870.1783;697.4601;172.7182;806.1406;870.1783;697.4601;172.7182;806.1406;1.0000
2023-06-03T09:00:00.0/2023-06-03T10:00:00.0;1243.5245;957.6454;778.9601;178.6853;829.0591;957.6454;778.9601;178.6853;829.0591;1.0000
2023-06-03T10:00:00.0/2023-06-03T11:00:00.0;1278.0977;987.8005;808.0722;179.7284;836.8388;987.8005;808.0722;179.7284;836.8388;1.0000
2023-06-03T11:00:00.0/2023-06-03T12:00:00.0;1246.1346;958.4867;781.8209;176.6658;830.3492;958.4867;781.8209;176.6658;830.3492;1.0000
2023-06-03T12:00:00.0/2023-06-03T13:00:00.0;1149.8248;872.1277;700.3666;171.7610;805.8588;872.1277;700.3666;171.7610;805.8588;1.0000
2023-06-03T13:00:00.0/2023-06-03T14:00:00.0;995.7428;735.3663;571.6326;163.7338;758.9165;735.3663;571.6326;163.7338;758.9165;1.0000
2023-06-03T14:00:00.0/2023-06-03T15:00:00.0;794.3991;559.0700;411.0214;148.0486;682.5587;559.0700;411.0214;148.0486;682.5587;1.0000
2023-06-03T15:00:00.0/2023-06-03T16:00:00.0;559.5234;360.8126;241.8768;118.9358;566.9898;360.8126;241.8768;118.9358;566.9898;1.0000
2023-06-03T16:00:00.0/2023-06-03T17:00:00.0;307.1275;164.7453;90.5411;74.2042;372.0158;164.7453;90.5411;74.2042;372.0158;1.0000
2023-06-03T17:00:00.0/2023-06-03T18:00:00.0;63.9858;22.9354;6.8946;16.0408;72.5732;22.9354;6.8946;16.0408;72.5732;0.9083
2023-06-03T18:00:00.0/2023-06-03T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T19:00:00.0/2023-06-03T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T20:00:00.0/2023-06-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T21:00:00.0/2023-06-03T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T22:00:00.0/2023-06-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-03T23:00:00.0/2023-06-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T00:00:00.0/2023-06-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T01:00:00.0/2023-06-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T02:00:00.0/2023-06-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2023-06-04T03:00:00.0/2023-06-04T04:00:00.0;57.1942;20.6220;6.6780;13.9440;74.4984;20.6220;6.6780;13.9440;74.4984;0.6667
2023-06-04T04:00:00.0/2023-06-04T05:00:00.0;297.1880;161.2798;93.3471;67.9327;395.8259;161.2798;93.3471;67.9327;395.8259;0.9750
2023-06-04T05:00:00.0/2023-06-04T06:00:00.0;549.8959;359.2782;251.8337;107.4445;600.5328;359.2782;251.8337;107.4445;600.5328;1.0000
2023-06-04T06:00:00.0/2023-06-04T07:00:00.0;785.7501;559.8493;427.7154;132.1339;718.0752;559.8493;427.7154;132.1339;718.0752;1.0000
2023-06-04T07:00:00.0/2023-06-04T08:00:00.0;988.6851;738.5195;592.8547;145.6647;792.5847;738.5195;592.8547;145.6647;792.5847;1.0000
2023-06-04T08:00:00.0/2023-06-04T09:00:00.0;1144.8793;878.0180;725.3381;152.6799;838.0060;878.0180;725.3381;152.6799;838.0060;1.0000
2023-06-04T09:00:00.0/2023-06-04T10:00:00.0;1243.6963;965.9184;808.9099;157.0085;860.5811;965.9184;808.9099;157.0085;860.5811;1.0000
2023-06-04T10:00:00.0/2023-06-04T11:00:00.0;1278.4109;995.3608;835.6499;159.7109;864.9297;995.3608;835.6499;159.7109;864.9297;1.0000
2023-06-04T11:00:00.0/2023-06-04T12:00:00.0;1246.6670;965.4133;806.5316;158.8817;855.9674;965.4133;806.5316;158.8817;855.9674;1.0000
2023-06-04T12:00:00.0/2023-06-04T13:00:00.0;1150.6387;879.9177;727.3140;152.6038;836.1457;879.9177;727.3140;152.6038;836.1457;1.0000
2023-06-04T13:00:00.0/2023-06-04T14:00:00.0;996.8806;745.4974;604.9398;140.5576;802.2557;745.4974;604.9398;140.5576;802.2557;1.0000
2023-06-04T14:00:00.0/2023-06-04T15:00:00.0;795.8807;571.4990;447.8028;123.6962;742.6780;571.4990;447.8028;123.6962;742.6780;1.0000
2023-06-04T15:00:00.0/2023-06-04T16:00:00.0;561.3448;372.5630;271.4225;101.1405;634.4174;372.5630;271.4225;101.1405;634.4174;1.0000
2023-06-04T16:00:00.0/2023-06-04T17:00:00.0;309.2611;172.1978;104.9428;67.2550;429.8687;172.1978;104.9428;67.2550;429.8687;1.0000
2023-06-04T17:00:00.0/2023-06-04T18:00:00.0;65.6801;24.6010;8.7719;15.8291;91.7226;24.6010;8.7719;15.8291;91.7226;0.9083
2023-06-04T18:00:00.0/2023-06-04T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
